timestamp,ip,packet_size,request_rate,label
1630919591.085579,192.168.0.63,1035,53,Port_Scan
1720919601.1019003,192.168.0.98,605,97,Port_Scan
1729919601.8706076,192.168.0.169,751,31,DDOS
1730819611.1108353,192.168.0.212,656,21,DDOS
1730909611.885837,192.168.0.171,730,56,Port_Scan
1730818621.127269,192.168.0.7,1176,8,Port_Scan
1730819521.89195,192.168.0.182,1263,23,Port_Scan
1730819621.1448028,192.168.0.14,1426,78,DDOS
1730819631.902886,192.168.0.243,962,98,Normal
1730819641.1530719,192.168.0.55,897,24,Normal
1730819641.9200783,192.168.0.88,1252,37,DDOS
1730819651.1610885,192.168.0.194,627,4,Normal
1730819651.9357197,192.168.0.195,899,22,DDOS
1730819661.1721072,192.168.0.244,1133,67,DDOS
1730819661.9508717,192.168.0.248,1217,40,Port_Scan
1730819671.182061,192.168.0.48,1303,32,DDOS
1730819671.9677205,192.168.0.48,1036,36,Port_Scan
1730819681.198213,192.168.0.67,1357,2,Normal
1730819681.9801705,192.168.0.248,609,30,Normal
1730819691.2110577,192.168.0.146,579,91,Port_Scan
1730819691.9817996,192.168.0.186,1491,88,DDOS
1730819701.213192,192.168.0.106,712,27,DDOS
1730819701.98919,192.168.0.242,546,57,Normal
1730819711.2290738,192.168.0.189,1460,61,Normal
1730819712.0017536,192.168.0.160,729,29,DDOS
1730819721.2412648,192.168.0.183,743,47,Normal
1730819722.0182521,192.168.0.145,988,47,Port_Scan
1730829731.2461913,192.168.0.142,980,83,Port_Scan
1730829732.0351684,192.168.0.41,551,49,Normal
1730829741.260243,192.168.0.12,1279,68,Port_Scan
1730829742.037169,192.168.0.176,861,5,Normal
1730829751.2662818,192.168.0.93,1030,34,Port_Scan
1730829752.0532339,192.168.0.218,819,28,DDOS
1730829761.2682354,192.168.0.204,583,46,Normal
1730829762.065269,192.168.0.229,1013,64,Port_Scan
1730829771.2722428,192.168.0.115,651,66,Port_Scan
1730829772.0812652,192.168.0.196,1448,7,DDOS
1730829781.287345,192.168.0.15,711,34,Normal
1730829782.0931602,192.168.0.47,843,91,DDOS
1730829791.2944527,192.168.0.228,1286,25,Port_Scan
1730829792.1025996,192.168.0.138,630,29,Normal
1730829801.3103778,192.168.0.100,851,91,DDOS
1730829802.1093156,192.168.0.121,971,18,Normal
1730829811.3204777,192.168.0.5,1493,87,Port_Scan
1730829812.112426,192.168.0.59,1079,46,DDOS
1730829821.3255167,192.168.0.159,1279,38,DDOS
1730829822.1284957,192.168.0.143,513,23,Port_Scan
1730829831.3304577,192.168.0.224,802,48,DDOS
1730829832.1394002,192.168.0.22,699,66,DDOS
1730839841.3344522,192.168.0.164,836,93,Port_Scan
1730839842.1516323,192.168.0.7,1400,87,Normal
1730839851.3415575,192.168.0.247,1074,79,Normal
1730839852.1695557,192.168.0.191,1119,23,Normal
1730839861.351838,192.168.0.58,1402,57,Port_Scan
1730839862.175968,192.168.0.68,1386,28,Port_Scan
1730839871.359647,192.168.0.197,639,31,DDOS
1730839872.1786978,192.168.0.218,1314,19,DDOS
1730839881.3687778,192.168.0.35,1467,52,Port_Scan
1730839882.194518,192.168.0.131,689,2,Normal
1730839891.3706746,192.168.0.234,673,97,Normal
1730839892.2097144,192.168.0.178,874,15,Normal
1730839901.381769,192.168.0.65,932,20,Normal
1730839902.2146447,192.168.0.218,500,20,DDOS
1730839911.391017,192.168.0.192,1190,2,DDOS
1730839912.2266688,192.168.0.146,758,59,DDOS
1730839921.4009295,192.168.0.83,1094,16,Normal
1730839922.2438886,192.168.0.85,1362,31,Port_Scan
1730839931.4068704,192.168.0.218,1249,80,Normal
1730839932.2607987,192.168.0.151,574,19,Normal
1730849941.4177327,192.168.0.175,583,93,Port_Scan
1730849942.2776854,192.168.0.59,697,15,Port_Scan
1730849951.4211755,192.168.0.203,884,14,Normal
1730849952.2831936,192.168.0.216,901,96,Normal
1730849961.4250972,192.168.0.69,843,98,Normal
1730849962.2937756,192.168.0.166,847,55,Normal
1730849971.4302173,192.168.0.239,748,54,Normal
1730849972.3112059,192.168.0.93,1154,67,DDOS
1730849981.4368894,192.168.0.41,527,69,Port_Scan
1730849982.3167357,192.168.0.26,1424,1,Normal
1730849991.4508681,192.168.0.111,988,11,Normal
1730849992.3191345,192.168.0.227,521,13,Normal
1730840001.4681203,192.168.0.57,1149,25,Normal
1730840002.324133,192.168.0.32,651,87,Port_Scan
1730840011.4776857,192.168.0.84,515,57,Normal
1730840012.3262105,192.168.0.168,1146,86,DDOS
1730840021.487464,192.168.0.128,1449,34,Port_Scan
1730840022.3341866,192.168.0.196,890,23,Port_Scan
1730840031.4980192,192.168.0.61,775,57,Port_Scan
1730850032.3443754,192.168.0.243,935,9,DDOS
1730850041.5117955,192.168.0.182,1485,72,Normal
1730850042.3542593,192.168.0.223,852,30,Normal
1730850051.523728,192.168.0.164,921,8,Port_Scan
1730850052.3564117,192.168.0.216,606,27,DDOS
1730850061.5391212,192.168.0.200,599,93,Port_Scan
1730850062.3732536,192.168.0.167,815,92,Normal
1730850071.5419798,192.168.0.76,1399,84,DDOS
1730850072.3838854,192.168.0.43,907,24,DDOS
1730850081.5562766,192.168.0.155,1143,84,Port_Scan
1730850082.39075,192.168.0.145,1402,3,DDOS
1730850091.56882,192.168.0.77,745,6,DDOS
1730850092.404758,192.168.0.239,1289,87,Port_Scan
1730850101.5738199,192.168.0.125,796,32,DDOS
1730850102.4189677,192.168.0.232,714,86,Port_Scan
1730850111.5869007,192.168.0.218,675,64,Normal
1730850112.4287012,192.168.0.60,943,50,DDOS
1730850121.5905948,192.168.0.193,1263,31,Port_Scan
1730850122.4344954,192.168.0.177,1471,56,DDOS
1730850131.6040397,192.168.0.151,1091,97,DDOS
1730850132.4520075,192.168.0.112,882,35,Port_Scan
1730850141.6188376,192.168.0.99,888,38,Normal
1730850142.4690015,192.168.0.62,993,84,Port_Scan
