frame.time_epoch,packet_size,ip.src,ip.dst,request_rate,_ws.col.Protocol,tcp.dstport,udp.dstport,label
1630919591.085579,1035,192.168.0.63,192.168.0.174,53,TCP,32058.0,34240.0,Port_Scan
1720919601.1019003,605,192.168.0.98,192.168.0.251,97,UDP,51031.0,17737.0,Port_Scan
1729919601.8706076,751,192.168.0.169,192.168.0.19,31,UDP,1856.0,15451.0,DDOS
1730819611.1108353,656,192.168.0.212,192.168.0.157,21,UDP,25598.0,13581.0,DDOS
1730909611.885837,730,192.168.0.171,192.168.0.249,56,UDP,28623.0,41443.0,Port_Scan
1730818621.127269,1176,192.168.0.7,192.168.0.169,8,ICMP,58510.0,44204.0,Port_Scan
1730819521.89195,1263,192.168.0.182,192.168.0.149,23,ICMP,16417.0,13641.0,Port_Scan
1730819621.1448028,1426,192.168.0.14,192.168.0.202,78,ICMP,60573.0,5104.0,DDOS
1730819631.902886,962,192.168.0.243,192.168.0.52,98,UDP,21877.0,15635.0,Normal
1730819641.153072,897,192.168.0.55,192.168.0.11,24,ICMP,859.0,3341.0,Normal
1730819641.9200785,1252,192.168.0.88,192.168.0.196,37,ICMP,19932.0,18954.0,DDOS
1730819651.1610885,627,192.168.0.194,192.168.0.26,4,UDP,36148.0,16579.0,Normal
1730819651.9357195,899,192.168.0.195,192.168.0.50,22,TCP,35616.0,30196.0,DDOS
1730819661.1721072,1133,192.168.0.244,192.168.0.11,67,ICMP,40719.0,1524.0,DDOS
1730819661.9508717,1217,192.168.0.248,192.168.0.28,40,UDP,30688.0,48779.0,Port_Scan
1730819671.182061,1303,192.168.0.48,192.168.0.199,32,ICMP,16902.0,18109.0,DDOS
1730819671.9677205,1036,192.168.0.48,192.168.0.201,36,UDP,20393.0,19165.0,Port_Scan
1730819681.198213,1357,192.168.0.67,192.168.0.40,2,ICMP,60768.0,16281.0,Normal
1730819681.9801705,609,192.168.0.248,192.168.0.202,30,ICMP,38452.0,57165.0,Normal
1730819691.2110577,579,192.168.0.146,192.168.0.239,91,TCP,40175.0,562.0,Port_Scan
1730819691.9817996,1491,192.168.0.186,192.168.0.14,88,ICMP,64023.0,18200.0,DDOS
1730819701.213192,712,192.168.0.106,192.168.0.23,27,ICMP,20067.0,27847.0,DDOS
1730819701.98919,546,192.168.0.242,192.168.0.212,57,ICMP,57363.0,24407.0,Normal
1730819711.2290738,1460,192.168.0.189,192.168.0.178,61,ICMP,53329.0,62217.0,Normal
1730819712.0017536,729,192.168.0.160,192.168.0.43,29,ICMP,24477.0,29399.0,DDOS
1730819721.2412648,743,192.168.0.183,192.168.0.32,47,UDP,47142.0,55794.0,Normal
1730819722.018252,988,192.168.0.145,192.168.0.86,47,ICMP,18541.0,1997.0,Port_Scan
