timestamp,ip,packet_size,request_rate,label
2024-11-06 20:42:09,192.168.0.137,666,25,DDOS
2024-11-06 20:42:10,192.168.0.31,1268,54,Port_Scan
2024-11-06 20:42:10,192.168.0.186,1274,44,DDOS
2024-11-06 20:42:11,192.168.0.106,862,88,Port_Scan
2024-11-06 20:42:11,192.168.0.132,1070,94,Port_Scan
2024-11-06 20:42:12,192.168.0.248,1369,4,DDOS
2024-11-06 20:42:12,192.168.0.100,1238,68,DDOS
2024-11-06 20:42:13,192.168.0.25,1124,90,DDOS
2024-11-06 20:42:13,192.168.0.144,851,66,DDOS
2024-11-06 20:42:14,192.168.0.93,833,92,Port_Scan
2024-11-06 20:42:14,192.168.0.114,502,39,Port_Scan
2024-11-06 20:42:15,192.168.0.97,698,46,DDOS
2024-11-06 20:42:15,192.168.0.196,1476,94,DDOS
2024-11-06 20:42:16,192.168.0.147,560,51,Port_Scan
2024-11-06 20:42:16,192.168.0.143,1309,3,Normal
2024-11-06 20:42:17,192.168.0.107,1243,55,DDOS
2024-11-06 20:42:17,192.168.0.121,1327,14,Port_Scan
2024-11-06 20:42:18,192.168.0.17,1277,65,Port_Scan
2024-11-06 20:42:18,192.168.0.202,617,65,Normal
2024-11-06 20:42:19,192.168.0.206,724,63,Port_Scan
2024-11-06 20:42:19,192.168.0.196,870,17,Port_Scan
2024-11-06 20:42:20,192.168.0.220,1024,46,Normal
2024-11-06 20:42:21,192.168.0.199,1241,44,DDOS
2024-11-06 20:42:21,192.168.0.47,512,36,DDOS
2024-11-06 20:42:22,192.168.0.226,1106,78,DDOS
2024-11-06 20:42:22,192.168.0.218,1424,34,Port_Scan
2024-11-06 20:42:23,192.168.0.187,1108,87,Normal
2024-11-06 20:42:23,192.168.0.6,1041,3,Normal
2024-11-06 20:42:24,192.168.0.112,935,28,Normal
2024-11-06 20:42:24,192.168.0.243,1339,86,DDOS
2024-11-06 20:42:25,192.168.0.214,984,32,DDOS
2024-11-06 20:42:25,192.168.0.6,669,39,DDOS
2024-11-06 20:42:26,192.168.0.237,693,41,DDOS
2024-11-06 20:42:26,192.168.0.189,1478,19,Port_Scan
2024-11-06 20:42:27,192.168.0.240,824,41,Normal
2024-11-06 20:42:27,192.168.0.214,1371,93,Normal
2024-11-06 20:42:28,192.168.0.206,1193,80,Normal
2024-11-06 20:42:28,192.168.0.51,1336,57,Port_Scan
2024-11-06 20:42:29,192.168.0.178,842,98,DDOS
2024-11-06 20:42:29,192.168.0.126,940,31,DDOS
2024-11-06 20:44:10,192.168.0.24,789,53,Port_Scan
2024-11-06 20:44:11,192.168.0.94,1031,16,Port_Scan
2024-11-06 20:44:11,192.168.0.195,920,40,Port_Scan
2024-11-06 20:44:12,192.168.0.156,1455,6,DDOS
2024-11-06 20:44:12,192.168.0.19,1450,96,DDOS
2024-11-06 20:44:13,192.168.0.2,1208,79,DDOS
2024-11-06 20:44:13,192.168.0.55,666,4,DDOS
2024-11-06 20:44:14,192.168.0.114,1126,77,Port_Scan
2024-11-06 20:44:14,192.168.0.37,1086,71,Normal
2024-11-06 20:44:15,192.168.0.217,793,64,DDOS
2024-11-06 20:44:15,192.168.0.189,1344,19,Port_Scan
2024-11-06 20:44:16,192.168.0.200,1337,92,DDOS
2024-11-06 20:44:16,192.168.0.116,979,42,DDOS
2024-11-06 20:44:17,192.168.0.39,1306,37,Port_Scan
2024-11-06 20:44:17,192.168.0.62,1182,63,Port_Scan
2024-11-06 20:44:18,192.168.0.224,1495,71,DDOS
2024-11-06 20:44:18,192.168.0.205,1222,98,Normal
2024-11-06 20:44:19,192.168.0.176,1103,43,Normal
2024-11-06 20:44:19,192.168.0.79,1019,31,Port_Scan
2024-11-06 20:44:20,192.168.0.97,1431,52,Port_Scan
2024-11-06 20:44:20,192.168.0.42,1487,3,Normal
2024-11-06 20:44:21,192.168.0.96,870,14,Normal
2024-11-06 20:44:21,192.168.0.53,904,49,DDOS
2024-11-06 20:44:22,192.168.0.140,1083,86,Port_Scan
2024-11-06 20:44:22,192.168.0.196,911,83,DDOS
2024-11-06 20:44:23,192.168.0.124,792,31,Port_Scan
2024-11-06 20:44:23,192.168.0.203,888,17,Normal
2024-11-06 20:44:24,192.168.0.239,569,50,Port_Scan
2024-11-06 20:44:24,192.168.0.220,1072,19,Normal
2024-11-06 20:44:25,192.168.0.95,1407,96,Port_Scan
2024-11-06 20:44:25,192.168.0.189,872,42,Port_Scan
2024-11-06 20:44:26,192.168.0.59,562,55,DDOS
2024-11-06 20:44:26,192.168.0.181,800,40,DDOS
2024-11-06 20:44:27,192.168.0.155,735,75,Port_Scan
2024-11-06 20:44:27,192.168.0.82,1004,73,DDOS
2024-11-06 20:44:28,192.168.0.180,1125,45,Port_Scan
2024-11-06 20:44:28,192.168.0.61,906,30,Normal
2024-11-06 20:44:29,192.168.0.135,908,2,Normal
2024-11-06 20:44:29,192.168.0.245,730,75,Port_Scan
2024-11-06 20:44:30,192.168.0.79,679,84,DDOS
2024-11-06 22:38:15,192.168.0.170,1269,76,Port_Scan
2024-11-06 22:38:16,192.168.0.84,515,96,Port_Scan
2024-11-06 22:38:16,192.168.0.97,1413,25,DDOS
2024-11-06 22:38:17,192.168.0.156,1117,92,Normal
2024-11-06 22:38:17,192.168.0.158,506,21,DDOS
2024-11-06 22:38:18,192.168.0.6,1173,98,Port_Scan
2024-11-06 22:38:18,192.168.0.203,1338,11,Port_Scan
2024-11-06 22:38:19,192.168.0.212,1320,29,DDOS
2024-11-06 22:38:19,192.168.0.49,1018,77,Port_Scan
2024-11-06 22:38:19,192.168.0.54,823,63,Normal
2024-11-06 22:38:19,192.168.0.186,945,28,Port_Scan
2024-11-06 22:38:20,192.168.0.192,1033,66,DDOS
2024-11-06 22:38:20,192.168.0.104,1480,92,Normal
2024-11-06 22:38:20,192.168.0.164,801,29,DDOS
2024-11-06 22:38:20,192.168.0.100,877,12,DDOS
2024-11-06 22:38:21,192.168.0.69,1052,4,Normal
2024-11-06 22:38:21,192.168.0.51,1114,22,DDOS
2024-11-06 22:38:21,192.168.0.76,1480,68,Port_Scan
2024-11-06 22:38:21,192.168.0.97,1229,14,Normal
2024-11-06 22:38:22,192.168.0.202,843,48,DDOS
2024-11-06 22:38:22,192.168.0.135,674,35,DDOS
2024-11-06 22:38:22,192.168.0.143,1035,51,Normal
2024-11-06 22:38:22,192.168.0.183,1327,18,DDOS
2024-11-06 22:38:23,192.168.0.254,652,92,DDOS
2024-11-06 22:38:23,192.168.0.36,1112,95,DDOS
2024-11-06 22:38:23,192.168.0.214,556,33,Normal
2024-11-06 22:38:23,192.168.0.112,1129,46,Normal
2024-11-06 22:38:24,192.168.0.111,1470,13,Port_Scan
2024-11-06 22:38:24,192.168.0.191,1407,74,Normal
2024-11-06 22:38:24,192.168.0.239,1352,50,Port_Scan
2024-11-06 22:38:24,192.168.0.115,553,88,DDOS
2024-11-06 22:38:25,192.168.0.30,1358,2,Port_Scan
2024-11-06 22:38:25,192.168.0.202,805,36,Port_Scan
